799889580001962TAVG-9999   -9999   -9999   -9999    -320  f -880  f-1030  f -930  f -930  f -360  f -320  f  -40  f
799889580001963TAVG    0  f   30  f -360  f -740  f -560  f -780  f-1030  f-1900  f-1050  f -880  f -250  f   80  f
799889580001964TAVG  100  f    0  f -240  f -770  f -940  f-1170  f -600  f-2010  f -970  f -320  f -110  f    0  f
799889580001965TAVG   90  f   70  f  110  f -330  f -390  f -740  f-1300  f-1220  f -570  f -890  f -210  f  -80  f
799889580001966TAVG   20  f  -30  f -180  f -570  f -610  f -880  f-1600  f-1200  f-1040  f -670  f -210  f  -60  f
799889580001967TAVG    0  f -200  f -150  f -280  f -860  f -800  f -820  f -860  f -990  f -750  f -380  f    0  f
799889580001968TAVG    0  f  -70  f -150  f -150  f -540  f-1070  f -820  f-1320  f-1240  f -560  f -330  f  -20  f
799889580001969TAVG   30  f  -80  f -500  f -640  f-1230  f-1820  f-1570  f-1100  f -590  f -890  f -360  f   60  f
799889580001970TAVG  -20  f  -80  f -200  f -840  f -850  f -890  f -520  f-1110  f -370  f -240  f  -60  f   80  f
799889580001971TAVG  160  f   30  f  -20  f -200  f -520  f -320  f -580  f -690  f -560  f -250  f -150  f   70  f
799889580001972TAVG  210  f  120  f  -60  f -270  f -370  f -700  f -520  f-1050  f -590  f -400  f -230  f   60  f
799889580001973TAVG  -80  f  -20  f -200  f -650  f -840  f-1000  f -870  f -640  f -710  f -410  f -150  f   30  f
799889580001974TAVG  100  f  130  f   50  f -380  f -510  f -350  f -800  f -760  f -930  f -280  f -110  f  110  f
799890090001991TAVG-2860  f-3820  f-5690  f-5850  f-5990  f-5870  f-5750  f-5930  f-5320  f-5200  f-3950  f-2650  f
799890090001992TAVG-2940  f-4300  f-5670  f-5340  f-5910  f-5570  f-6020  f-6070  f-5790  f-4710  f-3940  f-3020  f
799890090001993TAVG-2890  f-4250  f-5330  f-5880  f-5780  f-6160  f-5830  f-6490  f-5960  f-5090  f-3880  f-2940  f
799890090001994TAVG-2850  f-4440  f-5350  f-5760  f-5890  f-5580  f-6330  f-5910  f-5810  f-5190  f-3850  f-2970  f
799890090001995TAVG-3200  f-4090  f-5280  f-5850  f-5890  f-5870  f-5610  f-6250  f-6540  f-4970  f-3870  f-2780  f
799890090001996TAVG-2950  f-3770  f-5630  f-5500  f-6040  f-5920  f-5590  f-5350  f-6010  f-5370  f-3590  f-2630  f
799890090001997TAVG-2910  f-4370  f-5540  f-5660  f-5830  f-5770  f-6590  f-6020  f-6060  f-5530  f-3480  f-2810  f
799890090001998TAVG-2770  f-3870  f-5300  f-6260  f-5850  f-5570  f-5950  f-6320  f-6340  f-5480  f-3770  f-2910  f
799890090001999TAVG-2650  f-4150  f-5450  f-6110  f-5770  f-5860  f-6310  f-5720  f-6250  f-5160  f-3990  f-3230  f
799890090002000TAVG-3100  f-4310  f-5510  f-6180  f-5990  f-5980  f-6080  f-5950  f-6100  f-5080  f-3420  f-2820  f
799890090002001TAVG-2990  f-3890  f-5490  f-6000  f-5840  f-5770  f-6070  f-6380  f-5710  f-5350  f-3560  f-2720  f
799890090002002TAVG-2660  f-4060  f-4970  f-5260  f-5620  f-6190  f-5330  f-5750  f-5670  f-5000  f-3930  f-3100  f
799890090002003TAVG-2780  f-4040  f-5410  f-5700  f-5920  f-6440  f-6410  f-5580  f-6190  f-5140  f-3860  f-2500  f
799890090002004TAVG-2730  f-3830  f-5440  f-5450  f-5790  f-6150  f-6700  f-6150  f-5430  f-5020  f-3960  f-2500  f
799890090002005TAVG-2640  f-3960  f-5170  f-5430  f-5860  f-5870  f-6310  f-6040  f-5260  f-4880  f-3920  f-2400  f
799890090002006TAVG-2800  f-4280  f-5620  f-5590  f-5610  f-5840  f-6520  f-5910  f-6030  f-5580  f-3750  f-2980  f
799890090002007TAVG-2700  f-4210  f-5700  f-6090  f-5500  f-5170  f-5790  f-6060  f-6050  f-5020  f-3870  f-2820  f
799890090002008TAVG-2990  f-4160  f-5340  f-5410  f-5900  f-6180  f-5690  f-5970  f-5390  f-5150  f-3860  f-2680  f
799890090002009TAVG-2710  f-4190  f-5110  f-5850  f-5140  f-5510  f-5820  f-6100  f-5620  f-5040  f-3700  f-2730  f
799890090002010TAVG-2550  f-3790  f-5040  f-6260  f-5410  f-6050  f-5870  f-5770  f-6170  f-4960  f-3810  f-2670  f
799890090002011TAVG-2550  f-3710  f-5620  f-5990  f-6260  f-6170  f-5830  f-5650  f-5990  f-4870  f-3490  f-2740  f
799890090002012TAVG-2870  f-4030  f-5030  f-5950  f-5860  f-5800  f-6060  f-6270  f-6070  f-5150  f-3620  f-2530  f
799890090002013TAVG-2680  f-4390  f-5020  f-5750  f-6240  f-5260  f-5850  f-5330  f-5120  f-5120  f-3550  f-2620  f
799890090002014TAVG-2740  f-4380  f-5660  f-5390  f-5470  f-5470  f-9999   -9999   -9999   -9999   -9999   -9999   
